A124,Antonov AN-124
A225,Antonov AN-225
A306,Airbus A300-600
A319,Airbus A319-100
A320,Airbus A320-200
A321,Airbus A321-200
A332,Airbus A330-200
A333,Airbus A330-300
A343,Airbus A340-300
A346,Airbus A340-600
A359,Airbus A350-900
A35K,Airbus A350-1000
A388,Airbus A380-800
B737,Boeing 737-700
B738,Boeing 737-800
B739,Boeing 737-900
B744,Boeing 747-400
B748,Boeing 747-8
B752,Boeing 757-200
B753,Boeing 757-300
B762,Boeing 767-200ER
B763,Boeing 767-300ER
B764,Boeing 767-400ER
B772,Boeing 777-200ER
B77W,Boeing 777-300ER
B788,Boeing 787-8
B789,Boeing 787-9
B78X,Boeing 787-10
CL30,Bombardier CL30
CL35,Canadair Challenger 350
CL60,Bombardier CL60
F2TH,Dassault Falcon 2000
F900,Dassault Falcon 900
FA7X,Dassault Falcon 7X
E550,Embraer Legacy 550
E35L,Embraer Legacy 650
GLF3,Gulfstream III
GLF4,Gulfstream IV
GLF5,Gulfstream V
GLF6,Gulfstream VI
LJ35,Learjet 35
LJ60,Learjet 60
C750,Cessna Citation X
GLEX,Bombardier Global Express
GL5T,Bombardier Global 5000
GL7T,Bombardier Global 7000
H25B,Raytheon Hawker 800
IL76,Ilyushin IL-76
C680,Cessna Citation Sovereign
C68A,Cessna Citation Latitude
