IATA,Country
LHR,UK
BGR,USA
MHZ,UK
MAN,UK
FNI,FRA
SNN,IRE
GLA,UK
LTN,UK
AMS,NED
ROZ,SPA
BRU,BEL
DUB,IRE
HAM,GER
BFS,UK
MUC,GER
CPH,DEN
SPM,GER
FRA,GER
BCN,SPA
FAB,UK
CDG,FRA
RMS,GER
LEJ,GER
XFW,GER
OZP,SPA
STR,GER
FCO,ITA
TXL,GER
ARN,SWE
AUH,UAE
EDI,UK
STN,UK
TLS,FRA
HHN,GER
PDL,POR
VLC,SPA
TLV,ISR
PIK,UK
SVQ,SPA
KEF,ICE
BZZ,UK
MAD,SPA
LPL,UK
LOS,NGA
FUE,SPA
KWI,KWI
BQH,UK
GVA,SUI
LBG,FRA
CGN,GER
ISL,TUR
EAP,FRA
MXP,ITA
ANR,BEL
JER,UK
INV,UK
OSL,NOR
NCL,UK
BSL,SUI
EMA,UK
TER,POR
BMA,SWE
LIS,POR
GDN,POL
DXB,UAE
BUD,HUN
MLA,MLA
LIN,ITA
SOU,UK
EBMB,BEL
BOM,IND
ZRH,SUI
ETNW,GER
HAJ,GER
FFD,UK
LUX,LUX
EGSY,UK
DME,RUS
SOF,BUL
EIN,NED
EGHL,UK
GML,UKR
NCE,FRA
GBA,UK
HEL,FIN
TUN,TUN
DBV,CRO
RTM,NED
JMK,GRE
PMI,SPA
EJH,SAU
EXT,UK
BHX,UK
NSY,ITA
AZI,UAE
LKZ,UK
SJJ,BOS
BLQ,ITA
PSA,ITA
EBCV,BEL
OST,BEL
CWL,UK
BBJ,GER
ATH,GRE
DUS,GER
VIE,AUS
LPA,SPA
TLL,EST
AMM,JOR
SZG,AUS
KLX,GRE
IEV,UKR
LGG,BEL
OLA,NOR
NUE,GER
ACH,SUI
NHT,UK
BOD,FRA
LMO,UK
AGP,SPA
BOH,UK
OXF,UK
KUO,FIN
WTN,UK
KLU,AUS
CFU,GRE
XMJ,FRA
JED,SAU
KJK,BEL
SPU,CRO
LYS,FRA
FAO,POR
OLB,ITA
BJV,TUR
ORK,IRE
BEG,SER
BDS,ITA
EFL,GRE
LDY,UK
MRS,FRA
KIR,IRE
SIR,SUI
AHO,ITA
ADX,UK
TRS,ITA
RVN,FIN
GOT,SWE
TRN,ITA
RMI,ITA
BRS,UK
VRN,ITA
MME,UK
CIA,ITA
BGO,NOR
BRN,SUI
MST,NED
DLM,TUR
GOA,ITA
ORB,SWE
SMA,POR
BER,GER
FLR,ITA
LYN,FRA
BZR,FRA
PRG,CZE
UDE,NED
GKE,GER
SXF,GER
RKV,ICE
ODE,GER
SVO,RUS
TFS,SPA
FDH,GER
GRS,ITA
LJU,SLO
BXO,SUI
ESB,TUR
FMM,GER
CAT,POR
BEQ,UK
IST,TUR
OTP,ROM
CTA,ITA
NIM,NER
CBG,UK
GHA,ALG
VKO,RUS
EIME,IRE
VAA,FIN
CEQ,FRA
HBE,EGY
LGW,UK
HAD,SWE
RMU,SPA
NAP,ITA
RAK,MOR
VIT,SPA
LBA,UK
BVA,FRA
FSC,FRA
LIRE,ITA
ERF,GER
LSZL,SUI
CHQ,GRE
